coords,color
"40.371769,-111.973578",green
"40.371774,-111.973560",green
,orange
"40.371781,-111.973545",orange
,purple
"40.371787,-111.973529",purple
"40.371792,-111.973512",purple
"40.371797,-111.973493",purple
"40.371802,-111.973476",purple
,orange
"40.371810,-111.973457",orange
,purple
"40.371818,-111.973438",purple
"40.371826,-111.973421",purple
"40.371832,-111.973407",purple
"40.371837,-111.973392",purple
"40.371840,-111.973378",purple
,orange
"40.371845,-111.973364",orange
"40.371850,-111.973350",orange
"40.371857,-111.973335",orange
,purple
"40.371865,-111.973320",purple
"40.371874,-111.973308",purple
"40.371882,-111.973295",purple
"40.371892,-111.973279",purple
"40.371904,-111.973267",purple
"40.371916,-111.973254",purple
"40.371928,-111.973239",purple
"40.371940,-111.973226",purple
"40.371953,-111.973218",purple
"40.371964,-111.973207",purple
"40.371976,-111.973196",purple
"40.371990,-111.973182",purple
"40.372001,-111.973170",purple
"40.372013,-111.973158",purple
"40.372024,-111.973148",purple
"40.372037,-111.973138",purple
"40.372048,-111.973129",purple
"40.372058,-111.973117",purple
"40.372066,-111.973107",purple
"40.372076,-111.973096",purple
"40.372087,-111.973079",purple
"40.372098,-111.973060",purple
"40.372109,-111.973047",purple
"40.372122,-111.973031",purple
"40.372134,-111.973014",purple
